Nom;Code gare;Position Géographique;Localisation;Etat de fonctionnement;hauteur;adressesDNS;dateMiseEnService
Esc mec - Quai D sous dalle;e26021bf-541a-4e9e-8e74-66f59ce9bc60;;Voies 5 et 6 souterrain / Hall arrivée;OK;;;
ESC.MEC J021 Quai A/B;c1ad848f-e403-45b2-bf8d-3948ff48c58a;;Voies A et B / passerelle;OK;;;
ESC.MEC E503 DA2C1;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;(DA2C1) Quais;OK;;;
ESC.MEC D035 Voie 1;e7c3a519-f8dc-4a0d-997e-90561ca472a2;;Voie 1;OK;;;
ESC.MEC E524 DEF4;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;(DEF4) Pôle Saint Denis;OK;;;
Esc mec - Maubeuge Droit;70835097-e1ff-4138-86e1-4758ed173ed6;;Hall 5 - Niv-1 - Souterrain Maubeuge / Niv0 - Sortie 9 - Rue de Maubeuge;OK;;;
ESC.MEC E727 HA1D1;69a5f787-dba4-4e73-92e2-b03d8aed840b;;(HA1D1) Hall Caumartin Niveau Quai;OK;;;
ESC.MEC L072 EM 3;01e5fd69-f87c-4a5c-95c4-7367ed7ff242;;Quai B / passerelle / parvis;OK;;;
esc mec - EM 24 - Quai sortie Londres;9525725e-3b2c-4d63-9fa9-236a4ae26fee;;Voie 27 / Souterrain;OK;;;
esc mec - Du quai 3 au hall;1b5976cd-d539-4dd9-9ebf-80735cb42e25;;Voie 3 / hall;OK;;;
ESC.MEC D050 Nord;a6cd7a09-7591-45a6-a506-46af44c1911e;;Quai 1 / APP Nord;OK;;;
ESC.MEC E729 HA2D1;69a5f787-dba4-4e73-92e2-b03d8aed840b;;(HA2D1) Quai direction Le Havre;OK;;;
Esc mec - EM 39 - Mezzanine <==> quai 30/31;70835097-e1ff-4138-86e1-4758ed173ed6;;Hall 4 - Niv-2 - Mezzanine banlieue / Hall 3B - Niv0 - Voies 30 et 31;KO;;;
ESC.MEC C106 Quai E/F gauche - 6;b86ef9b5-cf80-4bfc-a95a-e7c4e74430cf;;Quais E et F gauche / hall;OK;;;
esc mec - Sortie Orne;23fa0284-8093-4f64-af15-5ed51248821c;;Sortie Rive de l'Orne / Souterrain;OK;;;
ESC.MEC E011 Quai 2 Voie C/D;b4f4efc6-5525-443b-8fb1-2ad534fb5687;;Voies C et D direction Paris / passerelle;OK;;;
esc mec - Rhône Express petit escalier Sud (tramway);ded1a773-b7d6-4c70-b9e9-f154e65be849;;Palier intermédiaire Rhône Express - Mon / Parvis;OK;;;
esc mec - EM 29 - sortie Londres haut;9525725e-3b2c-4d63-9fa9-236a4ae26fee;;Voie 27 / Sortie Rue de Londres;OK;;;
esc mec - St Léon R-2 à R-1 VM 117;bd3a55c7-b622-414f-907b-ce379d351038;;Voies 7 et 8 / Parking St Léon;OK;;;
ESC.MEC A013 Quai Central 3;d72d5d76-9e7b-412c-8adb-f2a2c4788ce1;;Voie 1 côté Cergy / hall;OK;;;
ESC.MEC J020 A. Passerelle;c1ad848f-e403-45b2-bf8d-3948ff48c58a;;Passerelle / sortie Jacques Jaouen;OK;;;
Esc mec - voie B descente;2e500c0d-7a48-452c-8753-efad7d204b23;;Passerelle / Voie B;OK;;;
Esc mec - TH4 - Hall de gare - Côté Nord Centre;f41e853e-620f-4ce9-988b-4f7a75625dd2;;Niv 3 - ADP / Niv 2 - Accès SUD - Hall gare;OK;;;
ESC.MEC L025 BV;d50239eb-b78d-4c5c-986a-7c225667ec62;;Hall / passerelle;OK;;;
esc mec - QUAI EF;d47727ab-a07f-4835-a53f-6961a9123387;;Voies E et F / hall;OK;;;
esc mec - Passerelle Quai 2;c59dec99-e5d8-4949-82b6-250d7960dc15;;Voies 2 et 3 / Passerelle;OK;;;
Esc mec - hall montant;4f2a074d-654b-406e-87db-66811f741d6d;;Voies 3 et 4 / Hall;OK;;;
ESC.MEC J001 Voie 1B coté Paris;1b862b71-cdef-4b4e-93a7-6ce96bfc95fa;;Voie 1B côté Paris / quai Ermont / hall;OK;;;
Esc mec - TH6 - Hall gare - Côté Nord;f41e853e-620f-4ce9-988b-4f7a75625dd2;;Niv 2 - Accès SUD - Hall Gare  / Niv 3 - ADP;OK;;;
Esc mec - TD2 - Accès Sud - Quai TGV 4/6;f41e853e-620f-4ce9-988b-4f7a75625dd2;;Niv 2 - Accès SUD - Hall gare / Niv 1 - Accès SUD - Voies TGV 4 et 6;OK;;;
ESC.MEC T004 EM4;0ac27581-65b6-41e4-ab47-11eb5972118e;;Voie 2 / hall;OK;;;
ESC.MEC A034 EM4 Quai A V2/4;ae72b313-b843-42a9-bd63-ff02ef4cff8b;;Voies 2 et 4 plateforme GR;OK;;;
Esc mec - Taxi droit - QT;70835097-e1ff-4138-86e1-4758ed173ed6;;Hall 1 - Niv-1 - Consignes Conciergerie / Hall 1 - Niv0 - Voies Grandes Lignes;OK;;;
esc mec - 702 - Extension Châlon;a6433423-9738-42fd-a125-321b28d78e8a;;Dépose Minute Chalon / Hall 3 (Place Fresnay);OK;;;
ESC.MEC E520 DDF3;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;(DDF3) Pôle Saint Denis;OK;;;
ESC.MEC E736 HA4D2;69a5f787-dba4-4e73-92e2-b03d8aed840b;;(HA4D2) Quai direction Le Havre;OK;;;
ESC.MEC E738 MOG2;69a5f787-dba4-4e73-92e2-b03d8aed840b;;(MOG2) sortie Mogador / Berry;OK;;;
ESC.MEC C095 Quai 1;83e56b2d-2a19-4aaf-ae77-4aed01341253;;Voie 2B / hall principal Guichet;OK;;;
ESC.MEC E540 SEF2;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;(SEF2) Pôle Alsace;OK;;;
Esc mec - F 14 - Du hall 2 au quai IDF n° 10/11;db3c1d28-2b95-43df-ae9f-5418a778abe0;;Milieu des voies 10 et 11 IDF / Hall 2;OK;;;
Esc mec - Maubeuge Gauche;70835097-e1ff-4138-86e1-4758ed173ed6;;Niv0 - Sortie 9 - Rue de Maubeuge / Hall 5 - Niv-1 - Souterrain Maubeuge;OK;;;
ESC.MEC D055 Quai 3 V2/2B;2066c463-d350-400c-9c4f-feefd157e01d;;Voies 2 et 2B direction Paris / souterrain;OK;;;
Esc mec -  Voies IJ Pompidou;f8df288c-2b8b-4e2b-9cef-5cfcd7028bf4;;Voies I et J / Hall 2;OK;;;
ESC.MEC E707 CA3D1;69a5f787-dba4-4e73-92e2-b03d8aed840b;;(CA3D1) Quai direction Le Havre;OK;;;
ESC.MEC D047 Voie 2/2B;9b623721-7d43-430a-b83b-cb72ee7a20b6;;Voies 1 et 1bis direction Paris / passerelle;OK;;;
Esc mec - EM2 Hall 2 côté galerie [AM29370R];876acd6d-c67b-47fd-95ee-f2b13b33508e;;Hall départ côté Relay;OK;;;
esc mec - Souterrain vers parvis;9fa050f0-ffaf-45a1-8d71-dc98ee4c65e6;;Parvis / Souterrain;OK;;;
ESC.MEC E020 Quai 2;c93c403b-1b15-4915-8aea-58759ea23609;;Voies D et E / souterrain;OK;;;
EPMR - hall 2 - face voie 8/9;db3c1d28-2b95-43df-ae9f-5418a778abe0;48.839287, 2.3185532;Hall 2 face aux voies 8 et 9 / Parking;OK;0.0;;2021-07-27T00:00:00
ASC.PMR 1049 EPMR HALL;f21f6e43-c118-462a-b695-d8239bf16769;;Hall côté rue Lattre de Tassigny;KO;;;
EPMR - VOIE 1/1bis;fbf8a217-00c2-46ae-8783-b190c2465d98;;Voies 1 et 1bis;INCONNU;0.0;;
EPMR - souterrain quai 1 côté quai A;0da968b8-dd3e-469f-9778-a26b3474538b;48.76585, 5.588921;/;INCONNU;0.0;;2021-08-27T00:00:00
EPMR - Quai voie 1 direction St Malo;fe1f6cf3-d37f-4111-b607-d08b72e69d34;;Voie 1 / Passerelle;OK;0.0;;2006-06-01T00:00:00
EPMR - EPMR couloir métro - coté gare;876acd6d-c67b-47fd-95ee-f2b13b33508e;43.61079, 1.454937;Couloir métro côté gare;INCONNU;0.0;;2015-07-01T00:00:00
EPMR - Quai voie 2 direction Rennes;fe1f6cf3-d37f-4111-b607-d08b72e69d34;;Voie 2 / passerelle;OK;0.0;;2006-06-01T00:00:00
EPMR - Rotonde Sud;64efcf12-e3d6-4b82-813b-aa62cdb7810b;47.99569, 0.19257812;Rotonde Sud bas / Rotonde sud haut;OK;0.0;;2012-01-01T00:00:00
EPMR - EPMR couloir métro - coté métro;876acd6d-c67b-47fd-95ee-f2b13b33508e;43.61077, 1.4549594;Couloir métro côté métro;INCONNU;0.0;;2015-07-01T00:00:00
ASC.PMR 1067 EPMR;f8a957f8-7e3c-448c-921b-4cf8bc095640;;Hall principal;OK;;;
ASC.PMR 1013 ASA5;b1fb9e27-f0db-46bf-a753-dd21a7e306e3;;Voies 52 et 54 / terrasse médiane;OK;;;
ascenseur - quai 2;b11f246c-dbc6-441e-92a4-79047970c981;49.80735, 2.8010402;Voies 2 et 4 / Passerelle;OK;0.0;;2012-03-01T00:00:00
ascenseur - Quai voie B;96830e2f-b489-4fb2-8f27-a2ef57030a44;;Voie B / passerelle;OK;0.0;;2021-09-29T00:00:00
ascenseur - BV voie 2;0a3c7c1d-488f-4065-a572-3dd7166f7a90;46.75948, 4.480875;Voie 1 / Souterrain;KO;0.0;;2005-01-01T00:00:00
ASC.PMR 3592 Voie 1 Coté BV;21488352-a014-4019-bb26-2160f86d1478;;Voie 1 / hall;OK;;;
ASC.PMR 2276 Voie 1;fa63b3da-03ec-452a-98a7-96997d051f86;;Voie 1 / souterrain;OK;;;
ASC.PMR 3056 Voie 1;3d319694-e03d-4cc0-a4d8-3c1d1e7952bb;;Voie 1;OK;;;
ascenseur - quai 2;d9986380-055d-4f4b-b076-5de88f8a4ea7;45.36394, 5.594484;Voie B / Souterrain;OK;0.0;;2011-07-01T00:00:00
Ascenseur - quai 2;319e337a-9971-4bdc-9223-ce1a3f05092b;;Voie 2;INCONNU;0.0;;2023-07-31T00:00:00
ASC.PMR 5003 Salle d'échange<>Voies 1/3 (GL9);a6433423-9738-42fd-a125-321b28d78e8a;;Salle d'échange<>Voies 1/3 (GL9);OK;;;
ascenseur - QUAI B;5492903c-cbe2-4609-b717-8d118acc5744;43.459152, -1.5459043;Voies 1 et 2 / souterrain;OK;0.0;;2009-12-01T00:00:00
ASC.PMR 2109 Voie 2 (Paris);68c9c229-aa6b-403e-a465-9fceb9d6bf45;48.9177637, 2.3505949;Voie 2 / passerelle;OK;;;
ascenseur - quai 2;e3c6bfe7-f84a-45dd-9914-31d5d40e5fb6;;Voie 2 / souterrain;OK;0.0;;2020-01-30T00:00:00
Ascenseur - voie 2 - côté Eglise;0272dc14-616c-4ca5-9d2f-16e51eead23a;;Voie 2 côté Eglise / passerelle;OK;0.0;;2020-12-10T00:00:00
Ascenseur - hall 1 - ascenseur panoramique 2 - AS-YAC-2 (duplex droite) - (4005);db3c1d28-2b95-43df-ae9f-5418a778abe0;48.833626, 2.311345;Hall 1 niveau 2 (panoramique droite) / Sortie Tour Montparnasse niveau 0 / Métro niveau -1;OK;0.0;;2018-06-01T00:00:00
ascenseur - Quai 1 Hall Départ;a67ea41d-e5f5-496c-8b90-7aa0e774fb9f;47.742455, 7.3434796;Passerelle / Hall départs et Voie 1;OK;0.0;;2007-01-03T00:00:00
ascenseur - quai voie A;23fa0284-8093-4f64-af15-5ed51248821c;49.176495, -0.34761837;Voie A / Souterrain;OK;0.0;;2011-01-01T00:00:00
ASC.PMR 3101 Voie C/D;03f70726-c3a1-4f1b-a829-10da37eb4c7f;;Voies C et D;OK;;;
ASC.PMR 4203 Voie 2/4;80e35e25-80d8-4444-92ff-e4ec63ff599f;;Voies 2 et 4;OK;;;
ASC.PMR 3038 Voie 2/2B;06d0f659-c55f-4971-9bf7-f85bc3d30780;;Voies 2 et 2bis / passerelle;OK;;;
Ascenseur - quai central voie A/B;90c6b374-76e7-4bc7-b849-3f3cb8bda3e5;43.369217, 5.358316;Voies A et B / souterrain;OK;0.0;;2021-07-12T00:00:00
ascenseur - quai 2;05a19372-f117-454f-a7c9-648485fecd55;;Voie 1 / passerelle;OK;0.0;;2017-11-01T00:00:00
ascenseur - Quai 3 côté Sud (AIG 51);60906013-799a-4fc3-b586-6675ad30cd57;45.902164, 6.1208158;Voie D / Souterrain Sud;OK;0.0;;2003-03-01T00:00:00
ascenseur - quai 2;0d1f6d5b-15a8-4d08-9474-2ca0bc17bd2e;;Voies 2 et Z / passerelle;INCONNU;0.0;;2019-05-29T00:00:00
Ascenseur - quai 1;9a48b3c4-0910-473a-8fcc-b445dddf27a3;47.68093, 5.919571;Voies A et 4 / Souterrain;OK;0.0;;2021-04-01T00:00:00
Ascenseur - Hall 1 côté Voie 1B;876acd6d-c67b-47fd-95ee-f2b13b33508e;;VOIE 1B;INCONNU;0.0;;2023-09-01T00:00:00
ascenseur - BV Galerie des transports;3730810c-71aa-49d4-b620-88750e4189dc;47.464596, -0.5566054;Hall / Hall Letanduère;OK;0.0;;2001-01-01T00:00:00
ascenseur - quai 3;2604c543-23db-449d-899b-2e7132fc7f14;;Voie 2bis / Souterrain;KO;0.0;;2019-05-25T00:00:00
Ascenseur - Quai voie 1 voie 3 Direction Brest;671fdc51-ce27-4d82-8c67-f4c64d202355;;Voie 2 BV / Passerelle;KO;0.0;;2017-01-01T00:00:00
ascenseur - 02 ascenseur voie 2 Paris;be22a63f-1bbc-48d1-9783-b3f0ce33dba7;;Voie 2 / Sortie rue La Gorp;OK;0.0;;2015-06-22T00:00:00
ascenseur - Quai TER Voie 1;e01debd3-2d9b-4cff-bb34-7ac5dd96ec7d;;Voie 1 / Hall (+1);OK;0.0;;2001-01-01T00:00:00
ascenseur - quai 5;dcb849a2-09bd-41d7-8078-847e85c01e12;;Voies 1 et 3 / Souterrain;OK;0.0;;2014-05-06T00:00:00
ASC.PMR 4535 QUAI A;42fd8f3d-5580-421e-8ec0-da2fc8d21742;;Quai A sortie rue du Bac;OK;;;
ascenseur - Quai voie 1 direction Marseille;7bd3ffb2-9187-475a-a3e1-39bcca0ecd0e;;Voie 1 direction Marseille / souterrain;OK;0.0;;2020-10-08T00:00:00
Ascenseur  - quai A voie 2;bc0f80da-cfa8-4dd0-b6e7-c72e7a83a748;;Voie 2 / Passerelle;KO;0.0;;2019-02-05T00:00:00
ASC.PMR 2040 Quai 2;432bfeb1-c82a-4058-8568-63248c46d281;;Quai 2 / passerelle;OK;;;
ascenseur - Sale d'échange sud;576279f4-3b59-411f-85d1-fd5d8ca71064;47.247196, 6.0222044;Hall et voies A, 8 et 18 / Souterrain;OK;0.0;;2014-03-01T00:00:00
ascenseur - voie 2;507ff14b-a91c-4caf-a5d8-6dea5dabbed6;43.78567, 1.3418831;Voie 2 / passerelle;OK;0.0;;2010-02-03T00:00:00
Ascenseur - Quai voies 2/4 Direction Rennes;5c146efe-194c-4919-845b-40118158e6be;47.82225, -1.81822;Voies 2 et 4 / Souterrain;OK;0.0;;2015-11-16T00:00:00
ASC.PMR 5025 Quai 1;fd22eddc-7af0-406d-af3c-924362d70b0c;;Quai 1 direction Paris;OK;;;
ASC.PMR 2511 Quai Central;c9474b0c-c822-43a9-9526-b53c8a9b9e7d;;Voies 1 et 2 / hall / bureau de vente;OK;;;
Ascenseur - quai 1 n°10996949;63772e0f-b5e4-4718-b0f1-5829bcebf65f;;Voie A / esplanade;OK;0.0;;2017-01-01T00:00:00
ascenseur - quai 1, voie A;c2bc7c8a-c799-447a-9d7a-a8b5b3c66cd6;;Voie A / Souterrain;OK;0.0;;2007-01-01T00:00:00
ascenseur - quai 2, voie B/C;551bef2a-5047-4cc9-9d9f-37303100a8b4;;Voies B et C / souterrain;OK;0.0;;2017-08-01T00:00:00
Ascenseur - Orphea 2 (FILTRE VERT);70835097-e1ff-4138-86e1-4758ed173ed6;;/  /  /  /  /  /  /  /  /  /  /  /;INCONNU;0.0;;
ASC.PMR 5016 Voie 2;d5fbe8bd-4b48-433f-8aa6-4e96941fb4af;;Voie 2;OK;;;
ascenseur - quai 4, coté voie D;3043a54b-c4a2-44fe-8a87-768b8348aa74;50.95342, 1.8506227;Voie D / Passerelle;OK;0.0;;2015-01-01T00:00:00
ascenseur - quai 4 voie 6/8;b4cdf5a5-42e6-4016-923d-d6356f8ff226;46.582882, 0.33284134;Voies 6 et 8 / passerelle;OK;0.0;;2011-01-01T00:00:00
ASC.PMR 5103 ASC3;a794fc83-1bbc-4efd-877f-d2e93749d1e2;;Quai Palier parvis (petit bois);OK;;;
ascenseur - quai 2, voies B-C;c2bc7c8a-c799-447a-9d7a-a8b5b3c66cd6;48.955048, 4.3493724;Voies B et C / souterrain;OK;0.0;;2007-01-01T00:00:00
ASC.PMR 5043 Quai 15/16;e99780a3-3666-432a-8c44-9cc2b59fd769;;Quai 10;OK;;;
ASC.PMR 4050 Quai A;d0d6982c-ba47-4a50-922c-9d432575edd4;;Voie 1 / hall;OK;;;
ASC.PMR 2505 Quai 1 Voie 2;7a4c8971-455e-4d42-a3c7-5d0bd173a409;;Voie 2 / souterrain;OK;;;
ASC.PMR 4501 Quai A Voie 2;257c109b-eca1-445d-a301-a4f0260a0135;;Voie 2 / hall;OK;;;
ascenseur - quai 2, voie B;c4d0601a-35f0-4e8d-9272-14e62054cd6a;48.738316, -0.025540445;Voie B / Souterrain;OK;0.0;;2014-06-01T00:00:00
ascenseur - quai 3, voies 1 et A;c4d0601a-35f0-4e8d-9272-14e62054cd6a;48.738262, -0.025720153;Voies 1 et A(ou B) / Souterrain;OK;0.0;;2014-06-01T00:00:00
ascenseur - Quai 1 - Nord;9d38a76e-18d1-477c-868d-5a0fb62c267a;45.76706, 3.1343508;Souterrain / Voie A;OK;0.0;;2013-07-01T00:00:00
Ascenseur - Quai 2 / souterrain;31076095-3cc0-4f0c-8026-6a974cae71d6;;Souterrain / Quai 2;INCONNU;0.0;;2024-06-01T00:00:00
ascenseur - quai 1;05a19372-f117-454f-a7c9-648485fecd55;;Voie 2 / Passerelle;OK;0.0;;2017-11-01T00:00:00
ascenseur - Quai 2;a1ca5a68-2591-462f-a455-47919f4822c2;48.727913, 7.9105606;Voie A et C / Passerelle;OK;0.0;;2004-01-02T00:00:00
ascenseur - Voie  A;268c286b-397d-4a3d-9277-f33ff7be29b3;48.543926, 7.588767;Voie A / passerelle;OK;0.0;;2008-01-01T00:00:00
ascenseur - Escalier 1 rome (Asc loué à Clépière pour utilisation par clients tiers);9525725e-3b2c-4d63-9fa9-236a4ae26fee;;005346A-A-5-17-0-19;INCONNU;0.0;;2017-02-16T00:00:00
ascenseur - Quai parking;4fc115c3-1b40-4178-9985-190a3520b2f9;;Souterrain / Parking;OK;0.0;;2015-01-08T00:00:00
ASC.PMR 4546 Voie 1;5f66f158-a879-4187-8f9a-268a4f11c846;;Voie 1 / hall;OK;;;
ASC.PMR 2032 Voie 1 BV;ebb3f5d3-8b18-4d1f-9a6b-1bdadc53271e;;Voie 2 / hall;OK;;;
ASC.PMR 3021 Q.A V2/T3;01e5fd69-f87c-4a5c-95c4-7367ed7ff242;;Voie 2 / passerelle;OK;;;
Ascenseur - AS 13 VGL1 Transmanche - Cour Napoléon;70835097-e1ff-4138-86e1-4758ed173ed6;48.880184, 2.355151;Hall 2 - Niv+1 - Terminal Transmanche / Hall 1 - Niv0 - Voies Grandes Lignes;OK;0.0;;2014-09-30T00:00:00
Ascenseur - coté parking;89dd3850-a715-48a0-af21-b71c8689acc8;;Voie B et C / passerelle;INCONNU;0.0;;2018-01-01T00:00:00
ASC.PMR 2255 Voie 1 BV;0ac27581-65b6-41e4-ab47-11eb5972118e;;Hall / quai 1;OK;;;
Ascenseur - Hall Départ côté Paris Voie 4 (1244478);6d950f75-8a47-4c30-b0ca-66f074ad3496;43.921776, 4.785376;Hall pavillon départs coté Paris / Mezzanine  départs;OK;0.0;;2001-01-01T00:00:00
ascenseur - quai 1;0640b5cc-95c3-4814-8e46-ad7860cd28cf;43.48416, -0.76728123;Voie 1 / Souterrain;KO;0.0;;2012-01-01T00:00:00
Ascenseur - Quai 5 Nord Voies 8/9;876acd6d-c67b-47fd-95ee-f2b13b33508e;43.61203, 1.4544072;Quai 5 Nord;OK;0.0;;2011-12-01T00:00:00
ascenseur - Quai 2;dfee683d-5056-46bd-b450-1fcac60df295;45.738766, 3.167752;Souterrain / Voie 2;OK;0.0;;2004-06-15T00:00:00
ascenseur - quai 1 voie A;9fa050f0-ffaf-45a1-8d71-dc98ee4c65e6;;Voie A / Souterrain;OK;0.0;;2019-04-01T00:00:00
ASC.PMR 2031 Voie 2;ebb3f5d3-8b18-4d1f-9a6b-1bdadc53271e;;Voie 1;OK;;;
Ascenseur - Quai voie 2 Direction Rennes;be5fdc95-be23-43bd-9d1c-b21e7f9db5aa;48.416126, -1.7275167;souterrain / Passerelle / Voie 2;OK;0.0;;2015-03-20T00:00:00
ascenseur - quai 1;2604c543-23db-449d-899b-2e7132fc7f14;48.10948, 5.134501;Voie 1bis / Souterrain;OK;0.0;;2019-05-25T00:00:00
ascenseur - quai 2;a7bd6c6c-8e22-466d-92bc-eb5847d8422f;;Voies 2 et 3 / Souterrain;OK;0.0;;2016-10-15T00:00:00
ascenseur - Mezzanine nord;77474ee2-1c30-4740-a579-b52c2bc74d89;;hall nord départ côté PC sécurité / mezzanine;OK;0.0;;2020-11-01T00:00:00
Ascenseur - quai 1 coté BV;26c3d8dd-edc2-4fa1-8114-af2c0c762105;;batiment voyageurs / passerelle;OK;0.0;;2021-01-13T00:00:00
Ascenseur - voies 44/46 Repère S -  Hall 3 - N°14;abb69b50-0b86-49ef-8fc5-c1116b5514a2;50.639713, 3.0752838;Voies 44 et 46 repère S / Hall 3;OK;0.0;;1994-01-01T00:00:00
ascenseur - Voie B;eca98d73-4dd6-4721-87ca-acb3a9b9ff9c;46.004562, 5.028365;Voies B et C / Passerelle;OK;0.0;;2009-07-01T00:00:00
ASC.PMR 2501 Voie 2;f6da5f49-d8fc-4cbe-ba5c-bcb2ffbece05;;Hall / souterrain;OK;;;
ascenseur - accès ville;0861af25-9c27-41b6-bcd3-228ebb014c17;;Rue Moulin Neuf / Passerelle;OK;0.0;;2017-08-01T00:00:00
Ascenseur - VOIE B côté BV Direction grasse;85e999cd-f941-45f9-aa44-a7ffbd92dbae;;Voie 1 / souterrain;OK;0.0;;2023-10-01T00:00:00
ascenseur - quai 2, voie 1;c4a3e70f-d42c-4026-98e6-35089225688a;50.101707, 1.8245195;Voie 1 et 3 / Passerelle;OK;0.0;;2017-08-01T00:00:00
ascenseur - quai 3;2c5b5f2a-6220-45af-8024-d1a8a7366cba;48.84361, 6.0720387;Voie 2 et 2 Bis / Passerelle;OK;0.0;;2012-07-01T00:00:00
ASC.PMR 4532 Accès passerelle;49826ab9-7c65-4370-b33e-be706ae71918;;Accès passerelle;OK;;;
Ascenseur - Quai B / Quai central;52a6bae5-7ffe-478d-9419-994fee7d2fe0;;Voie B / passerelle;OK;0.0;;2023-11-24T00:00:00
ASC.PMR 2270 Q.CENTRAL / PASO;c15cbd3a-192d-49a6-b147-2d3f0c850535;;Quai central / souterrain;KO;;;
ASC. 9203 Q.1;eda94b3b-498e-43e9-9686-79a895ed3422;;Quai 1 / hall;OK;;;
ASC.PMR 3098 Voie 2 Quai 1;02cd6887-3c81-4492-b94e-e33909bc573d;;Voie 2;OK;;;
ascenseur - quai 2;db0ae656-542a-45dc-954a-65998aef17b0;;Voie E / Passerelle;OK;0.0;;2019-12-02T00:00:00
Ascenseur - Quai 2 Voie BC / Passerelle;692b38d1-8d9c-42c9-b39b-6f8970a41409;;Passerelle / Voies BC;INCONNU;0.0;;2024-08-22T00:00:00
ASC.PMR 4073 Voies B/C;cb0d0983-2489-455c-b772-7ccdf8220678;;Voies B et C / passerelle;OK;;;
ascenseur - quai 2 voie 1/Z;b4cdf5a5-42e6-4016-923d-d6356f8ff226;46.58274, 0.33316052;Voies 1 et Z / passerelle;OK;0.0;;1995-01-01T00:00:00
Ascenseur - Quai 3 Sud Voies 4/5;876acd6d-c67b-47fd-95ee-f2b13b33508e;43.611385, 1.4542449;QUAI 3;OK;0.0;;2016-03-01T00:00:00
ASC.PMR 5006 Gare routière;d5fbe8bd-4b48-433f-8aa6-4e96941fb4af;;Gare routière / hall / parvis cathédrale;OK;;;
Ascenseur - voie B/C quai central;be42ead8-7fa0-46c6-baae-98433460602e;;Voies B et C / Passerelle;OK;0.0;;2019-09-28T00:00:00
ascenseur - quai 2;5df6f50f-7229-4615-94c0-3ae4d94c21c1;49.50442, 4.3702207;Voie 2 / souterrain;OK;0.0;;2007-01-01T00:00:00
ASC.PMR 4010 Q.CENTRAL;b89568e0-c7cc-4ad1-8181-60c254bff1c3;;Quai central;OK;;;
ascenseur - voie 2;ada93676-226b-48cb-b672-6228cda10104;49.603535, 0.4169284;Voie 2 / souterrain;OK;0.0;;2011-06-01T00:00:00
Ascenseur - Voie C / Souterrain;06573b75-22c7-4b28-9bff-d1486103c968;;Voie C / Souterrain;OK;0.0;;2018-12-04T00:00:00
ASC.PMR 4054 Voies B/C;cb0d0983-2489-455c-b772-7ccdf8220678;;Voies B et C / hall;OK;;;
Ascenseur - Voie 2/Souterrain;8b09091d-1683-49b0-860d-446879bc769c;;Voie 2 / souterrain;OK;0.0;;2023-04-07T00:00:00
Ascenseur - hall 1 - ascenseur panoramique 1 - AS-YAC-1 (duplex gauche) - (4004);db3c1d28-2b95-43df-ae9f-5418a778abe0;48.833626, 2.311345;Hall 1 niveau 2 (panoramique gauche) / Sortie Tour Montparnasse niveau 0 / Métro niveau -1;OK;0.0;;2018-06-01T00:00:00
Ascenseur - Quai 1 / Voie 2;ab1d8932-c005-4c6d-9c3a-d13ff399b74d;;Voie 2 / souterrain;OK;0.0;;
ASC.PMR 2266 Voie 1/2;c15cbd3a-192d-49a6-b147-2d3f0c850535;;Quai central / souterrain;OK;;;
ascenseur - quai 5 accès passerelle;a67ea41d-e5f5-496c-8b90-7aa0e774fb9f;47.741936, 7.3441286;Voies 8 / Passerelle;OK;0.0;;2007-01-01T00:00:00
ascenseur - Passerelle desserte quai voies B/C;d93b6d53-4c77-4bd2-b994-ec558ff973fb;;Voies B et C / Passerelle;OK;0.0;;2019-03-01T00:00:00
ASC.PMR 3556 QUAI 2;2f64ffe6-8d63-4af6-85d8-c59535969dc4;;Voies B et C;OK;;;
Ascenseur - Hall honorat entree nedelec 2 cote gare;b0ce193b-0926-4b87-8bf9-f37a1332e9a1;43.30369, 5.379437;Entrée parking / Hall honorat entrée nedelec  côté Gare;KO;0.0;;
ascenseur - VOIE D;a2b5c07f-260e-4fe1-b858-659549b9bb9f;47.274662, 5.99478;Voie D / Passerelle;OK;0.0;;2013-10-01T00:00:00
ascenseur - Quai 3;0449296d-a082-4c47-a934-3a9e643405f1;43.603638, 1.3337984;Voie 3 / souterrain;OK;0.0;;1999-01-01T00:00:00
ascenseur - Quai B;77474ee2-1c30-4740-a579-b52c2bc74d89;;Voies 2 et 3 / mezzanine;OK;0.0;;2020-11-01T00:00:00
ascenseur - BV voie 1;0a3c7c1d-488f-4065-a572-3dd7166f7a90;46.759613, 4.4809623;Voie 2 et Hall / Souterrain;OK;0.0;;2005-01-01T00:00:00
ascenseur - QUAI 2;87af8e36-3614-427c-8635-482939f70608;;Voie 1 / Souterrain;OK;0.0;;2005-01-01T00:00:00
ASC.PMR 4520 Quai B;5f66f158-a879-4187-8f9a-268a4f11c846;;Voie 1 / salle d'échange;OK;;;
ascenseur - Voie 3;ce2b2a5a-aa75-4d42-bf45-4a4ab0a8929d;48.870617, 2.7827709;Voie 3 / hall Nord;OK;0.0;;2010-01-01T00:00:00
